scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,PalmFruit_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag4_soc3_gwmed_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.2482360000000003e-05,0.585901,0.611847,0.6548027619999999,0.00391187,0.644853,0.00321038,0.001297212,0.001978573,0.0015302999999999,2,2,4,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwmed_exp_miroc_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.052509e-05,0.5347712,0.709374317,0.7687974315999998,0.004215074,0.7577956299999999,0.0033251999999999,0.001555325,0.0022827055,0.0019062026,2,2,4,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwmed_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.236705e-05,0.586155,0.6172486,0.6581444890000001,0.00393857,0.648139,0.00322113,0.001302105,0.001989864,0.001543684,2,2,5,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwmed_exp_noresm_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.047198e-05,0.5336689,0.711042796,0.7675760771100001,0.004225059,0.75655108,0.003332571,0.001556941,0.0022864111,0.00191042611,2,2,5,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwmed_rs_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.283688e-05,0.604934,0.6287613999999999,0.672867315,0.00402117,0.662652,0.00329379,0.0013281089999999,0.002024648,0.001572246,2,1,1,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwmed_rs_gfdl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.057367e-05,0.5397871999999999,0.713131183,0.77365952114,0.004240588,0.76259213,0.003348159,0.00156316,0.0022929501,0.00191548414,2,1,1,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwmed_rs_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.278805e-05,0.599205,0.6180445999999999,0.662300677,0.00397197,0.652205,0.00326666,0.001313752,0.001999209,0.001543295,2,1,2,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwmed_rs_hadgem_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.05431e-05,0.5376272,0.710731798,0.77107336582,0.004228907,0.76003396,0.003341537,0.001559674,0.0022862667,0.00190928782,2,1,2,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.298177e-05,0.614757,0.6344854999999999,0.6794337559999999,0.00407728,0.669076,0.00335089,0.001345273,0.002052727,0.001584313,2,1,3,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwmed_rs_ipsl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.0566869999999998e-05,0.539818,0.7140944499999999,0.77398168187,0.004246905,0.76289712,0.00335375,0.001565857,0.0022966255,0.00191804987,2,1,3,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwmed_rs_miroc_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.063335e-05,0.5381524000000001,0.709710675,0.7721122024099999,0.004221618,0.76109108,0.003336214,0.001556201,0.0022832529,0.00190708941,2,1,4,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwmed_rs_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.2418580000000004e-05,0.587971,0.6173885,0.6598824079999996,0.0039384799999999,0.649878,0.0032205999999999,0.0013013789999999,0.001989995,0.001543949,2,1,5,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwmed_rs_noresm_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.044447e-05,0.5314593000000001,0.709503378,0.7669068798599998,0.004209983,0.75592115,0.003319593,0.0015511429999999,0.0022791236,0.00190501086,2,1,5,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc4_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.959619999999999e-06,0.376918,0.5848,0.5720064489999999,0.00344609,0.5632889999999999,0.00268735,0.001183054,0.001840675,0.001400955,3,2,1,1,2,4,4,0,5,2,3,5,0
ssp_ag4_soc4_gwhi_exp_gfdl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,5.78449e-06,0.3092717,0.66445296,0.6663710271599997,0.00353329,0.65716863,0.0025544929999999,0.0013338229999999,0.0020848087,0.00178079116,3,2,1,2,2,4,4,6,2,5,3,5,0
ssp_ag4_soc4_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.87251e-06,0.369872,0.572098,0.5601934999999999,0.00337833,0.5516369999999999,0.00264641,0.001163559,0.001810259,0.001368201,3,2,2,1,2,4,4,0,5,2,3,5,0
ssp_ag4_soc4_gwhi_exp_hadgem_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,5.76005e-06,0.3072109,0.6612945299999999,0.6632986520199998,0.003515935,0.6541369499999999,0.002543945,0.001328822,0.0020767653,0.0017730000199999,3,2,2,2,2,4,4,6,2,5,3,5,0
ssp_ag4_soc4_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.99776e-06,0.375977,0.582861,0.5693987469999999,0.00345562,0.5606359999999999,0.00272358,0.001189266,0.001843165,0.001394281,3,2,3,1,2,4,4,0,5,2,3,5,0
ssp_ag4_soc4_gwhi_exp_ipsl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,5.72905e-06,0.3075591,0.65954874,0.6618772507399999,0.003517984,0.65270958,0.002549288,0.001330123,0.0020735527,0.0017702757399999,3,2,3,2,2,4,4,6,2,5,3,5,0
ssp_ag4_soc4_gwhi_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.70224e-06,0.363493,0.562118,0.5508429009999999,0.00330667,0.54245,0.00259139,0.001143406,0.001778238,0.001351435,3,2,4,1,2,4,4,0,5,2,3,5,0
ssp_ag4_soc4_gwhi_exp_miroc_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,5.74509e-06,0.306981,0.6610560999999999,0.66328114198,0.003509863,0.6541348300000001,0.002537633,0.001326669,0.0020754677,0.00177214698,3,2,4,2,2,4,4,6,2,5,3,5,0
