scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal
ssp_socio3_ag3_gwhi_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.78235,14.15915,0.0629289,0.00775131,7.23106043,1.368052,0.02577163,0.1053265,5.5993900000000005,0.1007671,0.0317531999999999,3,1,5,1,1,3,3,1
ssp_socio3_ag3_gwhi_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.345362000000001,14.28672,0.0588271999999999,0.00847654,6.55938644,1.174955,0.02486119,0.1055412,5.12014,0.0941174,0.03977165,3,1,5,2,1,3,3,1
ssp_socio3_ag3_gwlo_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.77918,14.02915,0.0620233,0.00762974,7.1011882,1.3624379999999998,0.02538932,0.1039841999999999,5.4789,0.0990525,0.03142418,1,2,1,1,1,3,3,1
ssp_socio3_ag3_gwlo_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.397652,14.3002,0.058937,0.00845508,6.531435990000001,1.168755,0.02462016,0.1054787,5.0993,0.0937659,0.03951623,1,2,1,2,1,3,3,1
ssp_socio3_ag3_gwlo_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.77344,13.990470000000002,0.0619346,0.00763497,7.14425052,1.350376,0.02537707,0.103489,5.53463,0.0992002,0.03117825,1,2,2,1,1,3,3,1
ssp_socio3_ag3_gwlo_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.3861930000000005,14.26544,0.0587859,0.00844377,6.536012609999999,1.170015,0.02471059,0.1054317,5.10251,0.093817,0.03952832,1,2,2,2,1,3,3,1
ssp_socio3_ag3_gwlo_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.77959,14.0731,0.0621108,0.00767109,7.186474150000002,1.361318,0.02557775,0.103744,5.564780000000002,0.099635,0.0314194,1,2,3,1,1,3,3,1
ssp_socio3_ag3_gwlo_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.368255,14.29278,0.0586942,0.00846598,6.5543381,1.173,0.02485535,0.1045789,5.11834,0.0939681,0.03959575,1,2,3,2,1,3,3,1
ssp_socio3_ag3_gwlo_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.87026,14.1849,0.0628817,0.00773099,7.21135936,1.361996,0.02549656,0.1058349,5.586080000000001,0.1002823,0.0316696,1,2,4,1,1,3,3,1
ssp_socio3_ag3_gwlo_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.434519,14.36343,0.0592119,0.00848783,6.54401422,1.171003,0.02456507,0.1068971,5.10808,0.0937908,0.03967825,1,2,4,2,1,3,3,1
