scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal
ssp_ag3_soc3_gwmed_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.7508300000000006,14.085450000000002,0.0625947,0.00768208,7.142358710000001,1.351735,0.02524767,0.1042047,5.530620000000001,0.0991817,0.03136964,2,1,1,1,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwmed_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.370522,14.32964,0.0592182,0.00849,6.536700929999999,1.16943,0.02457903,0.1055591,5.10386,0.0937002,0.0395726,2,1,1,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwmed_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.74736,14.03024,0.0622374,0.00767531,7.13982052,1.349316,0.02532826,0.1036339,5.531219999999999,0.099137,0.03118536,2,1,2,1,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwmed_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.3640170000000005,14.29341,0.0590065,0.00847541,6.53984425,1.171073,0.02469897,0.1053813999999999,5.1054,0.0937182,0.03957268,2,1,2,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwmed_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.78207,14.14985,0.0624246999999999,0.00772522,7.19009403,1.360163,0.02541643,0.1045737,5.56909,0.0993903,0.0314606,2,1,3,1,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.433866,14.35939,0.0587524,0.00849789,6.54651036,1.1716719999999998,0.02462156,0.1059321,5.11125,0.0934045,0.0396302,2,1,3,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwmed_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.8282,14.20338,0.0633749,0.0077764999999999,7.214055189999998,1.362161,0.02543119,0.1058475,5.5886999999999984,0.1002021999999999,0.0317133,2,1,4,1,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwmed_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.459779,14.4003,0.0594791999999999,0.00851686,6.5483043599999995,1.166693,0.02434189,0.1080598999999999,5.11611,0.0933736999999999,0.03972587,2,1,4,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwmed_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.80134,14.17057,0.0628953999999999,0.0077535,7.22354324,1.36802,0.02572314,0.1056806,5.59173,0.1006392,0.0317502999999999,2,1,5,1,2,3,3,1,1,7,4,0,2
ssp_ag3_soc3_gwmed_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.418997,14.2971,0.0584271999999999,0.00846708,6.55114255,1.172716,0.02478515,0.1059401,5.11417,0.0938262,0.0397051,2,1,5,2,2,3,3,1,6,1,6,0,2
ssp_socio3_ag2_gwhi_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.60493,12.00361,0.06113,0.0059339,7.1620104200000005,1.3475469999999998,0.01646068,0.0983377,5.58592,0.0905423,0.02320274,3,2,1,1,1,2,3,6,3,3,1,0,2
ssp_socio3_ag2_gwhi_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,3.262984,12.14224,0.0571747,0.00697038,6.40281722,1.101486,0.01782618,0.0940803,5.07481,0.0838467,0.03076804,3,2,1,2,1,2,3,6,7,3,7,0,2
ssp_socio3_ag2_gwhi_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.60042,11.90241,0.0604445,0.0059144,7.14146662,1.338928,0.01644283,0.0975856,5.57523,0.090283,0.02299719,3,2,2,1,1,2,3,6,3,3,1,0,2
ssp_socio3_ag2_gwhi_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,3.270883,12.09009,0.0567275999999999,0.00694373,6.38797805,1.10272,0.0179067999999999,0.0937588,5.059130000000001,0.0837296,0.03073285,3,2,2,2,1,2,3,6,7,3,7,0,2
ssp_socio3_ag2_gwhi_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.5780700000000003,12.04833,0.0610864,0.0059825,7.21412667,1.3699370000000002,0.0166817999999999,0.0985525,5.614599999999999,0.0909965,0.02335887,3,2,3,1,1,2,3,6,3,3,1,0,2
ssp_socio3_ag2_gwhi_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,3.230662,12.12151,0.0570288,0.00697968,6.419838090000001,1.109259,0.01796714,0.0934478,5.0841400000000005,0.0841815,0.03084265,3,2,3,2,1,2,3,6,7,3,7,0,2
ssp_socio3_ag2_gwhi_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.665680000000001,12.17437,0.0622115,0.00605023,7.268547610000001,1.363798,0.01666762,0.1008074,5.6713000000000005,0.0923458,0.02362879,3,2,4,1,1,2,3,6,3,3,1,0,2
ssp_socio3_ag2_gwhi_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,3.2854400000000004,12.2211,0.0575724,0.00701314,6.41691051,1.10676,0.0177306,0.0969644,5.08035,0.0841273999999999,0.03097811,3,2,4,2,1,2,3,6,7,3,7,0,2
ssp_socio3_ag2_gwhi_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.64668,12.12996,0.0615294999999999,0.00602209,7.298250610000002,1.370985,0.01699811,0.100178,5.6937700000000016,0.0926883999999999,0.0236311,3,2,5,1,1,2,3,6,3,3,1,0,2
ssp_socio3_ag2_gwhi_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,3.251482,12.10312,0.0565591,0.00695011,6.423526170000001,1.1109639999999998,0.01812528,0.0941798,5.0850100000000005,0.0842983,0.03094879,3,2,5,2,1,2,3,6,7,3,7,0,2
ssp_socio3_ag2_gwhi_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.62287,12.09849,0.0615808999999999,0.00601076,7.1647136399999996,1.3456549999999998,0.01633455,0.0997243,5.58945,0.0903271,0.02322269,3,1,1,1,1,2,3,6,3,3,1,0,2
ssp_socio3_ag2_gwhi_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,3.2779830000000003,12.229769999999998,0.0575344,0.00702363,6.392914149999999,1.100576,0.01756099,0.0976458,5.06281,0.0835054,0.03081596,3,1,1,2,1,2,3,6,7,3,7,0,2
ssp_socio3_ag2_gwhi_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.61565,12.00086,0.0607216999999999,0.0059789,7.14157838,1.337794,0.0163345199999999,0.0990678,5.57544,0.0899166,0.02302546,3,1,2,1,1,2,3,6,3,3,1,0,2
ssp_socio3_ag2_gwhi_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,3.282245,12.17537,0.0569913,0.0069874199999999,6.38291288,1.098976,0.0176382,0.0973351,5.05489,0.0833269,0.03074668,3,1,2,2,1,2,3,6,7,3,7,0,2
ssp_socio3_ag2_gwhi_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.6001000000000003,12.137,0.0614015,0.00605244,7.23206199,1.356542,0.01653375,0.0998297,5.6450700000000005,0.0907215,0.02336504,3,1,3,1,1,2,3,6,3,3,1,0,2
ssp_socio3_ag2_gwhi_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,3.257606,12.23069,0.0574688,0.00705186,6.4285162300000005,1.106626,0.01766464,0.0972729,5.09215,0.0838521999999999,0.03095049,3,1,3,2,1,2,3,6,7,3,7,0,2
ssp_socio3_ag2_gwhi_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.68754,12.24662,0.0626698,0.00612369,7.26769776,1.360041,0.0165152199999999,0.1023894,5.67309,0.0920064,0.02365574,3,1,4,1,1,2,3,6,3,3,1,0,2
ssp_socio3_ag2_gwhi_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,3.3106910000000003,12.30313,0.0579604,0.0070833699999999,6.42616679,1.107615,0.01754164,0.0992156999999999,5.087,0.0837366,0.03105785,3,1,4,2,1,2,3,6,7,3,7,0,2
ssp_socio3_ag2_gwhi_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.65586,12.14285,0.0618474,0.0060729,7.31791026,1.360627,0.01687783,0.1011279,5.723319999999999,0.0923306,0.02362693,3,1,5,1,1,2,3,6,3,3,1,0,2
ssp_socio3_ag2_gwhi_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,3.263998,12.14482,0.0567861999999999,0.00699051,6.42926132,1.108262,0.01797778,0.0960299,5.09192,0.0840686,0.03100304,3,1,5,2,1,2,3,6,7,3,7,0,2
ssp_socio3_ag2_gwlo_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.64507,12.03129,0.0611001,0.00593604,7.158311690000001,1.345909,0.0163678999999999,0.1000594,5.582380000000001,0.0903748,0.02322059,1,2,1,1,1,2,3,6,3,3,1,0,2
ssp_socio3_ag2_gwlo_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,3.300953,12.17371,0.0570668,0.00694688,6.372942440000001,1.103506,0.01767893,0.0963343,5.04114,0.0835436,0.03073961,1,2,1,2,1,2,3,6,7,3,7,0,2
