scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.30519,60.6333,140.88420000000005,67.791,54.49247799999999,1.032795,33.8338,15.28717,3.03543,1.303283,2,2,2,1,1,1,3,6,4,0,6,7,7
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.973358,66.7941,150.40800000000004,79.1262,64.061064,1.1266470000000002,41.6235,16.091459999999998,3.61625,1.603207,2,2,2,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwmed_exp_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.28112,61.4792,142.5688,68.7202,54.979961,1.055532,33.9757,15.55253,3.06988,1.3263189999999998,2,2,3,1,1,1,3,6,4,0,6,7,7
ssp_socio3_ag1_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.932505,66.80930000000001,151.21529999999996,79.71600000000001,64.01693699999998,1.136869,41.3916,16.23488,3.64335,1.6102379999999998,2,2,3,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwmed_exp_miroc_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.35576,61.6343,144.2263,68.76050000000001,55.80452100000001,1.044123,34.862700000000004,15.4714,3.09436,1.3319379999999998,2,2,4,1,1,1,3,6,4,0,6,7,7
ssp_socio3_ag1_gwmed_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.985759,67.1425,151.72299999999998,79.6375,64.63871999999999,1.127244,42.14,16.138669999999998,3.62256,1.6102459999999998,2,2,4,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwmed_exp_noresm_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.2341,60.0095,139.8089,67.3352,53.97256899999999,1.033095,33.3364,15.248069999999998,3.05094,1.304064,2,2,5,1,1,1,3,6,4,0,6,7,7
ssp_socio3_ag1_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.919769,66.2387,149.65699999999995,78.7878,63.841629999999995,1.128281,41.3841,16.09364,3.62909,1.606519,2,2,5,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwmed_rs_gfdl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.16249,59.5435,114.9155,58.5018,46.819725999999996,1.022543,28.6962,12.93555,2.89051,1.274923,2,1,1,1,1,1,3,6,7,3,0,7,7
ssp_socio3_ag1_gwmed_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.940465,66.8587,141.0342,77.0343,61.559671,1.1214540000000002,40.0692,15.22306,3.54746,1.5984969999999998,2,1,1,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwmed_rs_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.25481,60.9572,119.1751,61.6633,48.727666000000006,1.045855,29.8761,13.51244,2.9831700000000003,1.310101,2,1,2,1,1,1,3,6,7,3,0,7,7
