scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,PalmFruit_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal
ssp_socio4_ag3_gwmed_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,9.87025e-06,0.439758,0.548554,0.5983014769999998,0.00407342,0.587479,0.00393133,0.0014915389999999,0.001839323,0.0013261879999999,2,2,5,1,1,3,4,4,5
ssp_socio4_ag3_gwmed_rs_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,9.9912e-06,0.446596,0.548027,0.5992533760000001,0.00409727,0.588357,0.00397151,0.001495576,0.001846358,0.00133202,2,1,1,1,1,3,4,4,5
ssp_socio4_ag3_gwmed_rs_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,9.80896e-06,0.4428220000000001,0.555984,0.604389277,0.00411887,0.593522,0.00391238,0.001500188,0.0018566829999999,0.001335839,2,1,2,1,1,3,4,4,5
ssp_socio4_ag3_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.015334e-05,0.462364,0.5845090000000001,0.6327260839999999,0.00427539,0.6213839999999999,0.00409734,0.001563485,0.001951854,0.001405869,2,1,3,1,1,3,4,4,5
ssp_socio4_ag3_gwmed_rs_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,9.83789e-06,0.437188,0.5442130000000001,0.59382365,0.00401556,0.583125,0.00389455,0.001479342,0.001822006,0.001309198,2,1,4,1,1,3,4,4,5
ssp_socio4_ag3_gwmed_rs_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,9.91818e-06,0.445773,0.566368,0.6136617989999998,0.00411585,0.6027319999999999,0.00393859,0.001512177,0.0018757729999999,0.001363182,2,1,5,1,1,3,4,4,5
ssp_socio4_ag4_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.959619999999999e-06,0.376918,0.5848,0.5720064489999999,0.00344609,0.5632889999999999,0.00268735,0.001183054,0.001840675,0.001400955,3,2,1,1,1,4,4,0,5
ssp_socio4_ag4_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.87251e-06,0.369872,0.572098,0.5601934999999999,0.00337833,0.5516369999999999,0.00264641,0.001163559,0.001810259,0.001368201,3,2,2,1,1,4,4,0,5
ssp_socio4_ag4_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.99776e-06,0.375977,0.582861,0.5693987469999999,0.00345562,0.5606359999999999,0.00272358,0.001189266,0.001843165,0.001394281,3,2,3,1,1,4,4,0,5
ssp_socio4_ag4_gwhi_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.70224e-06,0.363493,0.562118,0.5508429009999999,0.00330667,0.54245,0.00259139,0.001143406,0.001778238,0.001351435,3,2,4,1,1,4,4,0,5
ssp_socio4_ag4_gwhi_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.74915e-06,0.366981,0.569441,0.5575772349999999,0.00335561,0.549079,0.00262005,0.001155456,0.001796557,0.001367119,3,2,5,1,1,4,4,0,5
ssp_socio4_ag4_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,8.43673e-06,0.391246,0.5563640000000001,0.5593813589999999,0.00346439,0.55061,0.00277145,0.001186195,0.001788708,0.0013493239999999,3,1,1,1,1,4,4,0,5
ssp_socio4_ag4_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.89612e-06,0.371123,0.569842,0.558391827,0.00337105,0.549851,0.00264198,0.001160976,0.001803312,0.001366821,3,1,2,1,1,4,4,0,5
ssp_socio4_ag4_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,8.02711e-06,0.384168,0.590716,0.578221236,0.00348941,0.569395,0.0027287,0.001196259,0.001868245,0.001411867,3,1,3,1,1,4,4,0,5
ssp_socio4_ag4_gwhi_rs_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.763489999999999e-06,0.36384,0.561435,0.5514507850000001,0.00331497,0.5430560000000001,0.00258706,0.001144079,0.001779868,0.001348676,3,1,4,1,1,4,4,0,5
