scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals
ssp_socio3_ag2_gwlo_rs_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,72.90010000000002,59.5512,47.1765,10.92544,27.665733000000003,2.86457,18.06668,1.6277,0.640887,4.465896,1,1,4,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwlo_rs_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,68.6893,70.1808,59.6715,13.54359,31.001987,3.97645,19.67115,1.628009,1.581398,4.14498,1,1,5,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwmed_exp_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,69.4205,56.5699,44.8398,10.22638,25.8049,2.77856,16.36644,1.62655,0.5378419999999999,4.495508,2,2,1,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwmed_exp_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,67.5695,72.8814,64.0176,14.24147,31.142781,4.23539,19.28524,1.6708349999999998,1.759624,4.191692,2,2,2,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwmed_exp_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,69.6185,50.97020000000001,38.0347,9.02802,23.3962975,2.2928,14.7837,1.626333,0.1056145,4.58785,2,2,3,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwmed_exp_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,69.6856,60.2804,49.037,11.16449,27.446038,3.0603700000000003,17.46346,1.649045,0.8183929999999999,4.45477,2,2,4,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwmed_exp_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,66.3984,70.8596,61.1143,13.831409999999998,30.194606,4.145569999999999,18.53435,1.654065,1.721862,4.138758999999999,2,2,5,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwmed_rs_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,69.7633,56.4021,44.5154,10.26917,26.178973,2.66455,16.933790000000002,1.623107,0.463209,4.494317,2,1,1,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,67.7313,72.9165,63.664,14.27167,31.525101999999997,4.1536399999999984,19.82489,1.6646849999999995,1.698366,4.183521,2,1,2,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,70.0463,50.6819,37.5083,8.96417,24.174767002347068,2.1498280000000003,15.83161,1.6083340000000002,2.3470700000000003e-09,4.584994999999999,2,1,3,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwmed_rs_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,70.312,60.0213,48.7224,11.17283,27.74837,2.94938,17.97299,1.64091,0.718063,4.467027,2,1,4,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwmed_rs_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,66.4821,70.63380000000002,60.8404,13.78643,31.022152000000002,4.07028,19.52717,1.635849,1.6541929999999998,4.13466,2,1,5,2,1,2,3,5,5,2,4
ssp_socio3_ag5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,69.8862,51.7354,28.2302,2.29779,9.68520900454748,2.68214,3.15396,1.281949,4.547479999999999e-09,2.56716,3,2,1,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,71.05789999999998,70.50999999999998,48.6643,5.2944700000000005,14.7506761,4.20296,6.39406,1.454593,0.0961331,2.60293,3,2,2,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,68.2311,48.822,24.9529,2.077163,8.78389000467704,2.48926,2.44336,1.27215,4.67704e-09,2.57912,3,2,3,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwhi_exp_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,72.2627,59.0014,35.9305,3.28162,11.85566700462314,3.1659,4.63721,1.3815369999999998,4.623139999999999e-09,2.67102,3,2,4,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwhi_exp_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,66.4041,66.5713,46.1698,4.9935100000000014,14.001488299999998,4.06765,5.9354,1.384635,0.1261733,2.48763,3,2,5,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,70.0883,51.7319,28.3352,2.31093,9.8262030045402,2.53358,3.44814,1.275543,4.5402000000000005e-09,2.56894,3,1,1,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,71.25890000000003,70.6711,48.4533,5.337330000000001,14.87611546,4.0827,6.71257,1.45435,0.02049546,2.6060000000000003,3,1,2,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,68.4718,48.8283,24.6287,2.04255,9.03016800467443,2.33996,2.84606,1.261218,4.674430000000001e-09,2.58293,3,1,3,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwhi_rs_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,72.4217,58.9662,36.0287,3.3555300000000003,11.94100700460935,3.0594,4.84084,1.367327,4.60935e-09,2.6734400000000003,3,1,4,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwhi_rs_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,66.6687,66.4488,46.1709,4.99803,14.5302905,4.04295,6.548769999999999,1.382711,0.0489695,2.5068900000000003,3,1,5,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,70.5798,51.5035,27.5229,2.2101,9.97853000451798,2.70059,3.41859,1.27047,4.51798e-09,2.58888,1,2,1,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,71.31739999999998,70.2114,48.172,5.227779999999999,14.933379500000001,4.16592,6.64336,1.451257,0.0592025,2.61364,1,2,2,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,68.8438,48.4603,24.3305,1.987908,9.0000950046678,2.4446,2.70563,1.2624149999999998,4.6678e-09,2.58745,1,2,3,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwlo_exp_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,73.12899999999999,58.5378,35.2419,3.17916,11.91185000461845,3.12169,4.7430900000000005,1.36755,4.61845e-09,2.67952,1,2,4,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwlo_exp_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,67.2068,66.112,45.3925,4.8376,14.2706485,3.97946,6.3410400000000005,1.375933,0.0812455,2.49297,1,2,5,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwlo_rs_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,71.17670000000003,50.95480000000001,27.7516,2.15017,9.955144004548842,2.47073,3.63794,1.259394,4.54884e-09,2.5870800000000003,1,1,1,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwlo_rs_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,72.0911,69.1154,49.0069,5.0315900000000005,15.027267004238649,4.04831,6.91904,1.4338570000000002,4.238649999999999e-09,2.62606,1,1,2,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,69.6159,48.1833,23.9069,1.898848,9.094315004680789,2.2384,3.02095,1.247755,4.68079e-09,2.58721,1,1,3,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwlo_rs_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,73.7814,58.0381,35.4165,3.01497,11.9968800046232,3.00278,4.96518,1.33942,4.6232e-09,2.6895,1,1,4,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwlo_rs_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,68.07820000000001,64.7929,46.2555,4.694649999999998,14.53441800400815,3.85403,6.80664,1.3620580000000002,4.00815e-09,2.51169,1,1,5,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,69.9876,51.7614,28.2058,2.23363,9.900546004535752,2.69309,3.3553,1.275436,4.53575e-09,2.57672,2,2,1,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,71.1331,70.4371,48.5756,5.21776,14.939666800000001,4.20183,6.5945,1.452935,0.0809018,2.6095,2,2,2,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,68.2852,48.6771,24.8207,2.0418830000000003,8.931395004673902,2.4602,2.6219,1.267675,4.6739e-09,2.58162,2,2,3,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwmed_exp_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,72.3295,58.9494,35.8726,3.3180400000000003,11.95944400460974,3.1811100000000003,4.73067,1.370554,4.60974e-09,2.67711,2,2,4,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwmed_exp_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,66.4582,66.4452,46.0707,4.96317,14.1470074,4.03407,6.12557,1.3836620000000002,0.1134054,2.4903,2,2,5,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwmed_rs_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,70.2173,51.6079,28.2064,2.27218,9.941070004537142,2.5341400000000003,3.55907,1.27062,4.53714e-09,2.57724,2,1,1,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwmed_rs_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,71.27199999999999,70.3808,48.4638,5.221019999999998,14.890298399999997,4.05235,6.7751,1.449789,0.0077193999999999,2.60534,2,1,2,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,68.5873,48.6361,24.5644,2.017993,9.134556004673861,2.32043,2.96919,1.257236,4.673859999999999e-09,2.5877,2,1,3,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwmed_rs_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,72.56049999999998,58.7967,35.9494,3.31956,11.996113004611649,3.0383,4.91336,1.365103,4.61165e-09,2.67935,2,1,4,1,1,5,3,5,5,2,4
ssp_socio3_ag5_gwmed_rs_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,66.6374,66.0856,46.32980000000001,4.94267,14.467578399999999,3.91567,6.63177,1.3761800000000002,0.0498684,2.4940900000000004,2,1,5,1,1,5,3,5,5,2,4
