scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal
ssp_ag3_soc3_gwmed_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.471201,6.540750000000001,0.6785760000000001,0.2770192,28.0585743,2.493665,8.026111,16.20744,0.535015,0.2969459,0.4993974,2,1,2,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.817180000000001,6.4088400000000005,0.7225280000000001,0.2478603,28.26483,2.81373,8.31983,15.84865,0.574829,0.298912,0.408879,2,1,3,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.528628,6.566730000000001,0.675938,0.2777537,28.1171793,2.485852,8.010773,16.2895,0.535311,0.2954814,0.5002619,2,1,3,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.7858,6.15362,0.7199479999999999,0.2410739,27.587915,2.50294,8.32735,15.52214,0.5542020000000001,0.280061,0.401222,2,1,4,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.529152,6.5103800000000005,0.6803279999999999,0.2759526,28.099665100000003,2.399006,7.910264999999999,16.47233,0.529993,0.2898321,0.498239,2,1,4,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.79764,6.36888,0.7207520000000001,0.2464065,28.306868999999995,2.8051,8.336179999999999,15.88398,0.57277,0.299941,0.408898,2,1,5,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.503571,6.51663,0.6694559999999999,0.2756520999999999,28.072919,2.479074,8.031552999999999,16.23337,0.533896,0.2956542,0.4993718,2,1,5,2,2,3,3,3,5,3,1,2
ssp_socio3_ag2_gwhi_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,2.781892,5.99531,0.657967,0.2265942999999999,25.6475516,2.496894,6.0704400000000005,15.65434,0.748012,0.2795315,0.3983340999999999,3,2,1,2,1,2,3,3,3,6,6,2
ssp_socio3_ag2_gwhi_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_California_W,2.778092,5.94665,0.650305,0.2248826,25.5242925,2.490219,6.07503,15.54184,0.742765,0.2781111,0.3963274,3,2,2,2,1,2,3,3,3,6,6,2
ssp_socio3_ag2_gwhi_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,2.74506,5.96612,0.654215,0.2262248999999999,25.532623799999996,2.506752,6.09936,15.5019,0.746816,0.2798715,0.3979243,3,2,3,2,1,2,3,3,3,6,6,2
