scenario,year,region,input,FiberCrop_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal
ssp_socio3_ag3_gwlo_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,3.009311e-06,1.786157,0.6266700000000001,34.9167387,22.41197,5.5735410000000005,1.058295,4.96902,0.727975,0.1759377,1,1,1,2,1,3,3,5
ssp_socio3_ag3_gwlo_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.9909050000000004e-06,1.7807419999999998,0.6251760000000001,35.009512,22.48871,5.6005850000000015,1.056309,4.96016,0.7279909999999999,0.175757,1,1,2,2,1,3,3,5
ssp_socio3_ag3_gwlo_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,3.0125420000000003e-06,1.776986,0.625843,35.003046600000005,22.47558,5.6027510000000005,1.053908,4.96698,0.727945,0.1758826,1,1,3,2,1,3,3,5
ssp_socio3_ag3_gwlo_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,3.049837e-06,1.793693,0.629339,35.0251612,22.51046,5.564085,1.069959,4.97561,0.7282420000000001,0.1768052,1,1,4,2,1,3,3,5
ssp_socio3_ag3_gwlo_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,3.023515e-06,1.7659539999999998,0.624437,35.06296410000001,22.50378000000001,5.621037,1.059534,4.972849999999998,0.7293390000000001,0.1764241,1,1,5,2,1,3,3,5
ssp_socio3_ag3_gwmed_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.882863e-06,1.7748099999999998,0.6202340000000001,34.8342273,22.3446,5.6282830000000015,1.020606,4.93842,0.7278680000000001,0.1744503,2,2,1,2,1,3,3,5
ssp_socio3_ag3_gwmed_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.885252e-06,1.7699,0.619737,34.878370600000004,22.35505,5.6517800000000005,1.020294,4.94829,0.728394,0.1745625999999999,2,2,2,2,1,3,3,5
ssp_socio3_ag3_gwmed_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.883338e-06,1.7615009999999998,0.620216,34.9283918,22.40439,5.658449,1.020155,4.9431400000000005,0.7277899999999999,0.1744677999999999,2,2,3,2,1,3,3,5
ssp_socio3_ag3_gwmed_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.921259e-06,1.776663,0.622675,34.9167313,22.4003,5.631368,1.031425,4.950130000000001,0.728417,0.1750912999999999,2,2,4,2,1,3,3,5
ssp_socio3_ag3_gwmed_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.91114e-06,1.755795,0.6196459999999999,34.977008399999995,22.42265,5.668679999999998,1.028791,4.9524300000000006,0.729336,0.1751213999999999,2,2,5,2,1,3,3,5
ssp_socio3_ag3_gwmed_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.904169e-06,1.781134,0.6237050000000001,34.856989000000006,22.37043,5.605333,1.032423,4.94672,0.7271380000000001,0.174945,2,1,1,2,1,3,3,5
ssp_socio3_ag3_gwmed_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.900047e-06,1.775038,0.62268,34.9176975,22.40264,5.632873,1.031264,4.94861,0.7273769999999999,0.1749335,2,1,2,2,1,3,3,5
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.950045e-06,1.769389,0.624993,34.960132,22.43947,5.623018,1.036853,4.959569999999999,0.7258169999999999,0.175404,2,1,3,2,1,3,3,5
ssp_socio3_ag3_gwmed_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.975178e-06,1.7955010000000002,0.628041,34.9215944,22.40601,5.572051,1.059512,4.98021,0.727494,0.1763174,2,1,4,2,1,3,3,5
ssp_socio3_ag3_gwmed_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.9376330000000003e-06,1.758115,0.6222,34.996401,22.44205,5.652856,1.036673,4.96084,0.728383,0.1755989999999999,2,1,5,2,1,3,3,5
