scenario,year,region,input,FiberCrop_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_ag3_soc3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.950045e-06,1.769389,0.624993,34.960132,22.43947,5.623018,1.036853,4.959569999999999,0.7258169999999999,0.175404,2,1,3,2,2,3,3,5,6,0,7
ssp_ag3_soc3_gwmed_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.824464e-06,1.7171759999999998,0.524375,36.4827426,24.33707,5.35084,0.832784,5.12141,0.703809,0.1368296,2,1,4,1,2,3,3,1,1,0,7
ssp_ag3_soc3_gwmed_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.975178e-06,1.7955010000000002,0.628041,34.9215944,22.40601,5.572051,1.059512,4.98021,0.727494,0.1763174,2,1,4,2,2,3,3,5,6,0,7
ssp_ag3_soc3_gwmed_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.799143e-06,1.697273,0.5207539999999999,36.5183053,24.35094,5.39329,0.8274819999999999,5.10591,0.704194,0.1364892999999999,2,1,5,1,2,3,3,1,1,0,7
ssp_ag3_soc3_gwmed_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.9376330000000003e-06,1.758115,0.6222,34.996401,22.44205,5.652856,1.036673,4.96084,0.728383,0.1755989999999999,2,1,5,2,2,3,3,5,6,0,7
ssp_socio3_ag3_gwhi_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.766937e-06,1.6959259999999998,0.515933,36.3527967,24.27411,5.36714,0.8136909999999999,5.06249,0.699771,0.1355947,3,2,1,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwhi_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.870818e-06,1.775263,0.6195069999999999,34.8472007,22.37176,5.628754,1.018512,4.926159999999999,0.7276520000000001,0.1743626999999999,3,2,1,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwhi_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.782141e-06,1.695241,0.5181939999999999,36.4419238,24.29391,5.39371,0.814052,5.1016200000000005,0.7032579999999999,0.1353738,3,2,2,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwhi_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.884385e-06,1.768884,0.619754,34.877434099999995,22.35449,5.653909,1.019312,4.94649,0.728664,0.1745691,3,2,2,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwhi_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.754262e-06,1.690101,0.517097,36.4430742,24.30109,5.39731,0.810325,5.09784,0.701058,0.1354512,3,2,3,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwhi_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.852391e-06,1.764676,0.619775,34.88993220000001,22.37328,5.658231,1.0160550000000002,4.9400200000000005,0.727986,0.1743602,3,2,3,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwhi_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.788556e-06,1.706598,0.519726,36.44879410000001,24.297400000000003,5.38389,0.8201309999999999,5.10628,0.704858,0.1362351,3,2,4,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwhi_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.8820290000000007e-06,1.779306,0.621943,34.905045900000005,22.40677,5.6326420000000015,1.024639,4.9375800000000005,0.72851,0.1749048999999999,3,2,4,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwhi_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.770652e-06,1.6914730000000002,0.517422,36.482746500000005,24.30131,5.418830000000001,0.818345,5.10344,0.704788,0.1360335,3,2,5,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwhi_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.8699110000000008e-06,1.761225,0.61907,34.8873801,22.33829,5.665166,1.023975,4.9557400000000005,0.7292420000000001,0.1749671,3,2,5,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwhi_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.7860610000000003e-06,1.702778,0.5198020000000001,36.3155573,24.23248,5.345219999999999,0.8189900000000001,5.08361,0.699557,0.1357003,3,1,1,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwhi_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.886529e-06,1.7808990000000002,0.623092,34.8371775,22.35463,5.611333,1.027079,4.94243,0.726943,0.1747625,3,1,1,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwhi_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.796955e-06,1.6998060000000002,0.5217189999999999,36.440579199999995,24.28791,5.38065,0.82105,5.113119999999999,0.702116,0.1357332,3,1,2,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwhi_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.897188e-06,1.772166,0.622278,34.8838601,22.35967,5.641291000000002,1.0267190000000002,4.95381,0.727534,0.1748361,3,1,2,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwhi_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.776892e-06,1.694973,0.5210060000000001,36.412984699999996,24.27272,5.37567,0.8165150000000001,5.11254,0.6997009999999999,0.1358387,3,1,3,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwhi_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.873662e-06,1.7703779999999998,0.623055,34.87283,22.35673,5.636631,1.02589,4.95221,0.726498,0.174871,3,1,3,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwhi_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.813823e-06,1.7136049999999998,0.523459,36.459993499999996,24.31026,5.36222,0.8282290000000001,5.11885,0.703796,0.1366385,3,1,4,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwhi_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.906258e-06,1.7857330000000002,0.625268,34.836476899999994,22.31652,5.613258999999999,1.034074,4.96978,0.7273940000000001,0.1754499,3,1,4,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwhi_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.785115e-06,1.6966480000000002,0.520127,36.499094,24.32827,5.39824,0.8240019999999999,5.1077900000000005,0.704422,0.13637,3,1,5,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwhi_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.879392e-06,1.7643380000000002,0.620907,34.948496600000006,22.4125,5.651861,1.03,4.9505300000000005,0.728284,0.1753216,3,1,5,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwlo_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.811792e-06,1.6898919999999995,0.5171479999999999,36.5275128,24.4597,5.37162,0.8217629999999999,5.03911,0.699144,0.1361757999999999,1,2,1,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwlo_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.924383e-06,1.774214,0.621642,34.8747153,22.37444,5.6188460000000005,1.032451,4.94597,0.728182,0.1748263,1,2,1,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwlo_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.815182e-06,1.693426,0.5193369999999999,36.4837874,24.32887,5.38782,0.8204950000000001,5.10827,0.7026939999999999,0.1356384,1,2,2,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwlo_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.917323e-06,1.7702719999999998,0.620976,34.9297348,22.40292,5.640617,1.032659,4.94986,0.728783,0.1748958,1,2,2,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwlo_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.799637e-06,1.686729,0.518254,36.508310900000005,24.35975,5.39361,0.8169350000000001,5.10127,0.700988,0.1357579,1,2,3,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwlo_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.8958620000000003e-06,1.762085,0.620606,34.914629000000005,22.38625,5.65512,1.022306,4.9487,0.7276600000000001,0.174593,1,2,3,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwlo_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.850776e-06,1.7060799999999998,0.5218160000000001,36.5110396,24.34924,5.37147,0.832686,5.11605,0.704885,0.1367086,1,2,4,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwlo_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.949878e-06,1.783118,0.624273,34.9399706,22.42514,5.608447,1.046064,4.95603,0.728692,0.1755976,1,2,4,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwlo_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.836889e-06,1.688287,0.519412,36.54716770000001,24.35410000000001,5.412590000000002,0.827607,5.11192,0.7045319999999999,0.1364187,1,2,5,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwlo_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.932467e-06,1.7543939999999998,0.62035,34.957121799999996,22.39203,5.666906,1.031097,4.962940000000001,0.728919,0.1752298,1,2,5,2,1,3,3,5,1,0,7
