scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals
ssp_socio3_ag2_gwhi_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.671594,20.80141,5.198729999999999,16.670859999999998,15.400597000000001,1.5896880000000002,8.64547,3.3907,1.043829,0.7309100000000001,3,2,4,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwhi_exp_noresm_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.5834200000000003,19.07057,4.543839999999999,13.38521,13.732644999999998,1.713585,7.48591,3.18264,0.8108310000000001,0.539679,3,2,5,1,1,2,3,1,3,2,3,1,4,1
ssp_socio3_ag2_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.653977,20.72992,5.90729,16.75591,15.542473999999999,1.611066,8.65564,3.47793,1.047156,0.7506820000000001,3,2,5,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwhi_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.655623,20.77028,4.79859,16.60051,15.233839,1.573375,8.57297,3.33592,1.034172,0.7174020000000001,3,1,1,2,1,2,3,5,7,2,2,1,4,1
ssp_socio3_ag2_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.72574,21.07288,6.215920000000001,17.066860000000002,15.993956,1.611681,9.07055,3.50941,1.044427,0.7578879999999999,3,1,2,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwhi_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.645624,20.85029,5.3406,16.81739,15.508472999999999,1.593055,8.72355,3.41581,1.041687,0.7343710000000001,3,1,3,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwhi_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.644882,20.66156,5.30351,16.642210000000002,15.382786,1.591846,8.60511,3.41049,1.040405,0.734935,3,1,5,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.707168,20.83465,5.50623,16.66977,15.49264,1.594939,8.71594,3.40785,1.037659,0.736252,1,2,1,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.749829,21.02444,6.27751,16.991229999999998,15.946204999999999,1.6183379999999998,8.99949,3.51915,1.049103,0.760124,1,2,2,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwlo_exp_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.62221,19.35495,4.55675,13.55151,13.87597,1.7471679999999998,7.58477,3.18923,0.810978,0.543824,1,2,3,1,1,2,3,1,3,2,3,1,4,1
