scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals,cluster_Wheat_withdrawal_MiscAll_withdrawals
ssp_socio3_ag5_gwhi_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.375829,15.58853,20.21057,0.580344,60.4120397,6.752489999999999,0.4303797,32.2338,3.79953,9.1516,8.04424,3,2,1,2,1,5,3,4,4,3,5,1,2,7,4,3,3
ssp_socio3_ag5_gwhi_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.373623,15.76485,20.4756,0.586854,60.796031400000004,6.947260000000001,0.4249614,32.3758,3.82924,9.14654,8.072230000000001,3,2,2,2,1,5,3,4,4,3,5,1,2,7,4,3,3
ssp_socio3_ag5_gwhi_exp_ipsl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.303335,14.33157,18.61251,0.545392,57.301114,6.06345,0.4437239999999999,30.4015,3.58792,9.06183,7.74269,3,2,3,2,1,5,3,4,2,3,5,1,7,7,4,3,3
ssp_socio3_ag5_gwhi_exp_miroc_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.287317,14.1732,18.35088,0.5349520000000001,56.7146203,5.94606,0.4275603,30.4626,3.50527,8.78937,7.583760000000001,3,2,4,2,1,5,3,4,2,3,5,1,7,7,4,3,3
ssp_socio3_ag5_gwhi_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.296392,15.33725,19.9889,0.573674,59.3502334,6.821860000000001,0.4244334,31.3941,3.76226,9.00535,7.94223,3,2,5,2,1,5,3,4,2,3,5,1,2,7,4,3,3
ssp_socio3_ag5_gwhi_rs_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.282315,14.11253,18.13245,0.5361400000000001,56.619248999999996,5.88014,0.4254189999999999,30.6031,3.4875800000000003,8.70198,7.52103,3,1,2,2,1,5,3,4,2,3,5,1,7,7,4,3,3
ssp_socio3_ag5_gwhi_rs_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.200228,13.53184,17.51127,0.5181720000000001,55.2998983,5.68234,0.4221383,29.8886,3.39271,8.54299,7.371119999999999,3,1,5,2,1,5,3,4,2,1,5,1,2,7,1,3,3
ssp_socio3_ag5_gwlo_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.261686,13.22166,16.88959,0.501083,53.934384800000004,5.35686,0.4371448,28.95346,3.3063,8.5891,7.291519999999999,1,2,1,2,1,5,3,1,2,1,5,1,2,7,1,3,3
ssp_socio3_ag5_gwlo_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.322391,14.632929999999998,18.88965,0.548313,57.79098979999999,6.246569999999999,0.4279198,30.9306,3.59626,8.87836,7.711279999999999,1,2,2,2,1,5,3,4,2,3,5,1,7,7,4,3,3
ssp_socio3_ag5_gwlo_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.248975,14.03462,18.12079,0.528583,56.0489082,6.002619999999999,0.4261882000000001,29.92876,3.4888200000000005,8.68104,7.52148,1,2,5,2,1,5,3,4,2,3,5,1,7,7,4,3,3
ssp_socio3_ag5_gwmed_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.33943,14.9649,19.35869,0.559552,58.704057399999996,6.40493,0.4314574,31.3557,3.66492,9.00221,7.84484,2,2,1,2,1,5,3,4,4,3,5,1,7,7,4,3,3
ssp_socio3_ag5_gwmed_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.3718790000000003,15.72116,20.40642,0.584859,60.731373000000005,6.90943,0.424663,32.400400000000005,3.81599,9.12681,8.054079999999999,2,2,2,2,1,5,3,4,4,3,5,1,2,7,4,3,3
ssp_socio3_ag5_gwmed_exp_ipsl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.227388,12.93353,16.638070000000003,0.49851,53.4241352,5.23449,0.4480851999999999,28.42288,3.2968900000000003,8.72558,7.29621,2,2,3,2,1,5,3,1,2,1,5,1,2,7,1,3,3
ssp_socio3_ag5_gwmed_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.293466,15.23944,19.83013,0.569716,59.3029128,6.75644,0.4226228,31.5142,3.73619,8.96914,7.904319999999999,2,2,5,2,1,5,3,4,2,3,5,1,2,7,4,3,3
