scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag4_soc5_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,13.62417,0.0,1.418868,0.0,29.923505301093243,0.0,29.72588,4.0577800000000005e-10,6.87468e-10,0.1976253,0.0,1,1,3,1,2,4,5,0,6,4,4,3,3,3,4,7
ssp_ag4_soc5_gwlo_rs_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,11.01372,0.0,1.475116,0.0,30.336339401155232,0.0,30.1534,4.30723e-10,7.245089999999997e-10,0.1829394,0.0,1,1,4,1,2,4,5,0,4,4,4,3,3,3,4,7
ssp_ag4_soc5_gwlo_rs_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,5.92376,0.0,1.4469340000000002,0.0,30.90613510121622,0.0,30.76102,4.5274800000000005e-10,7.634720000000001e-10,0.1451151,0.0,1,1,5,1,2,4,5,7,0,4,4,3,3,3,4,7
ssp_ag4_soc5_gwlo_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,14.76801,0.0,1.6058020000000002,6.22514e-05,28.893432000429392,0.0,28.62929,1.35963e-10,2.9342900000000003e-10,0.264142,0.0,1,1,5,2,2,4,5,0,6,4,4,3,3,3,4,7
ssp_ag4_soc5_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,39.9461,1.257672,1.145375,0.000699388,29.648813099999998,0.40756,24.3487,4.03524,0.46121,0.30923,0.0868731,2,2,1,1,2,4,5,4,2,1,2,6,7,3,0,7
ssp_ag4_soc5_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,42.5509,2.264917,1.082964,0.0007642759999999,31.4469332,0.531467,23.35416,6.112299999999999,0.992241,0.311862,0.1449032,2,2,2,1,2,4,5,4,2,6,2,6,5,3,0,7
ssp_ag4_soc5_gwmed_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,44.7778,2.431891,1.22624,0.001234492,30.857409100000005,0.468734,22.668691,6.02202,1.145064,0.373162,0.1797381,2,2,2,2,2,4,5,4,2,6,2,1,4,3,5,7
ssp_ag4_soc5_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,12.89591,0.0,1.397396,0.0,30.217533801080794,0.0,30.01983,3.96446e-10,6.84348e-10,0.1977038,0.0,2,2,3,1,2,4,5,0,6,4,4,3,3,3,4,7
ssp_ag4_soc5_gwmed_exp_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,6.660660000000001,0.0,1.4223979999999998,0.0,31.276643801175062,0.0,31.12058,4.32969e-10,7.42093e-10,0.1560638,0.0,2,2,5,1,2,4,5,7,0,4,4,3,3,3,4,7
ssp_ag4_soc5_gwmed_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,14.26556,0.0,1.588937,7.43255e-05,29.235696000422465,0.0,28.97062,1.3278299999999998e-10,2.8968200000000004e-10,0.265076,0.0,2,2,5,2,2,4,5,0,6,4,4,3,3,3,4,7
ssp_ag4_soc5_gwmed_rs_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,40.2635,1.34183,1.148215,0.0007131819999999,29.6451072,0.416176,24.07355,4.2583,0.495506,0.309658,0.0919172,2,1,1,1,2,4,5,4,2,1,2,6,7,3,0,7
ssp_ag4_soc5_gwmed_rs_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,42.6837,2.2961,1.087168,0.000772309,31.3903602,0.532403,23.19102,6.21218,0.996561,0.311924,0.1462722,2,1,2,1,2,4,5,4,2,6,2,6,5,3,0,7
ssp_ag4_soc5_gwmed_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,45.021,2.524756,1.225039,0.001250203,30.9585249,0.477084,22.483316,6.25486,1.185372,0.372888,0.1850049,2,1,2,2,2,4,5,4,2,6,2,1,4,3,5,7
ssp_ag4_soc5_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,13.22878,0.0,1.418049,0.0,29.747482901095317,0.0,29.54284,4.06306e-10,6.890080000000001e-10,0.2046429,0.0,2,1,3,1,2,4,5,0,6,4,4,3,3,3,4,7
ssp_ag4_soc5_gwmed_rs_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,8.009630000000001,0.0,1.4280810000000002,0.0,30.915123201159865,0.0,30.74827,4.2878899999999997e-10,7.31077e-10,0.1668532,0.0,2,1,5,1,2,4,5,7,0,4,4,3,3,3,4,7
ssp_ag4_soc5_gwmed_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,14.41923,0.0,1.596564,9.002129999999999e-05,29.07554900042393,0.0,28.81017,1.33602e-10,2.90329e-10,0.265379,0.0,2,1,5,2,2,4,5,0,6,4,4,3,3,3,4,7
