scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_socio3_ag4_gwhi_rs_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03582843,3.079953,0.866483,0.453159,12.089035699999998,2.2634540000000003,7.149972999999999,0.3134205,0.0408583,2.073643,0.2476869,3,1,1,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwhi_rs_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03580739,3.067957,0.860792,0.452237,12.107681099999999,2.2639560000000003,7.174362,0.3118896,0.0408374,2.069667,0.2469691,3,1,2,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwhi_rs_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03538439,3.050882,0.855858,0.449812,11.943206900000002,2.245609,7.046808,0.3098989,0.0405055,2.054965,0.2454205,3,1,3,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwhi_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03567597,3.0536160000000003,0.8620509999999999,0.449878,11.914128300000002,2.2410400000000004,7.02199,0.3139561999999999,0.0405271,2.050625,0.24599,3,1,4,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwhi_rs_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03553213,3.044684,0.8544120000000001,0.4488319999999999,12.121803600000002,2.254003,7.208039,0.3077248,0.0407154,2.06471,0.2466114,3,1,5,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwlo_exp_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.0361125,3.063385,0.8594620000000001,0.449815,12.098711699999997,2.258101,7.175437,0.3079389999999999,0.0407485,2.06999,0.2464962,1,2,1,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwlo_exp_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03596396,3.053741,0.8569680000000001,0.449352,12.1192404,2.257946,7.197056,0.3075491,0.0407636,2.069696,0.2462297,1,2,2,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwlo_exp_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03544785,3.024938,0.8472430000000001,0.4455149999999999,11.978699100000002,2.236508,7.10372,0.3017608,0.0404069,2.052483,0.2438203999999999,1,2,3,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwlo_exp_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03602275,3.044371,0.8544379999999999,0.4471199999999999,11.954717400000002,2.238399,7.0701540000000005,0.3092854,0.0404204,2.051412,0.2450466,1,2,4,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwlo_exp_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03601446,3.042949,0.8489190000000001,0.447001,12.1272,2.251909,7.220150999999999,0.3061144,0.0406516,2.062454,0.2459199999999999,1,2,5,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwlo_rs_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03719219,3.112139,0.8672290000000001,0.455002,12.073075099999999,2.27071,7.117238,0.3202535999999999,0.0409871999999999,2.074716,0.2491703,1,1,1,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwlo_rs_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03693715,3.099684,0.8635370000000001,0.454081,12.0864918,2.266996,7.1398350000000015,0.3185277999999999,0.0409731999999999,2.071725,0.2484347999999999,1,1,2,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwlo_rs_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.0369239,3.081651,0.8564590000000001,0.451798,11.9672706,2.254225,7.0454880000000015,0.3172958,0.0406517,2.062422,0.2471881,1,1,3,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwlo_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03718933,3.089632,0.8610559999999999,0.451917,11.9366916,2.250796,7.020703999999999,0.3209737,0.0406793,2.055714,0.2478246,1,1,4,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwlo_rs_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03719593,3.087757,0.856562,0.451286,12.1004967,2.2651830000000004,7.157156,0.3191612,0.0408554,2.069387,0.2487541,1,1,5,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwmed_exp_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.0357154,3.053771,0.8597809999999999,0.449301,12.1001158,2.256784,7.179550999999999,0.3060398,0.0407221,2.070905,0.2461139,2,2,1,2,1,4,3,6,0,4,3,4,5,0,3
