scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals
ssp_ag4_soc3_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.874,13.58456,4.84402,0.297639,32.015427,2.9916,6.265079999999998,14.17228,2.95366,4.90829,0.724517,2,2,1,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.509600000000006,15.39464,5.5918,0.4659359999999999,34.517117999999996,2.6882650000000003,6.844519999999999,14.61379,3.5819400000000003,5.69431,1.094293,2,2,1,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,45.7662,12.97293,4.80398,0.291948,31.750747,2.98766,6.17551,14.08999,2.90222,4.91274,0.6826270000000001,2,2,2,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.71870000000001,15.42654,5.5897,0.468973,34.704377,2.704594,6.912160000000001,14.65903,3.60362,5.72234,1.102633,2,2,2,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,45.9213,13.45168,4.76055,0.299029,31.745703000000002,2.97554,6.21499,14.05854,2.9320700000000004,4.84534,0.719223,2,2,3,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,45.8263,15.3981,5.59306,0.492036,34.869052,2.721605,6.7793600000000005,14.84245,3.6395,5.73051,1.155627,2,2,3,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_exp_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.7182,13.49557,4.82967,0.299454,32.009665000000005,2.9670400000000003,6.202380000000001,14.279000000000002,2.93404,4.89732,0.729885,2,2,4,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.9643,15.45711,5.59271,0.467784,34.832716000000005,2.683634,6.774109999999999,15.00317,3.57766,5.69197,1.102172,2,2,4,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_exp_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.9972,13.69897,4.85106,0.305341,32.641534,3.03732,6.43411,14.45174,2.9948200000000003,4.98139,0.742154,2,2,5,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.9928,15.49037,5.56094,0.470816,34.972131999999995,2.715248,6.9736,14.811049999999998,3.61901,5.74137,1.111854,2,2,5,2,2,4,3,3,5,1,4,4,2,6
