scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag3_soc5_gwmed_rs_gfdl_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.063578,3.592159,24.56013,0.001113421,14.7526269,7.660239999999999,2.930225,3.135784,0.1192101,0.9071678,2,1,1,2,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwmed_rs_hadgem_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.316889,3.50916,25.45478,0.000873312,14.981292,8.33352,2.546927,3.26755,0.118224,0.715071,2,1,2,1,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwmed_rs_hadgem_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.013463,3.577748,24.63787,0.0011126089999999,14.738619700000001,7.66535,2.910989,3.137197,0.1194622,0.9056215,2,1,2,2,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwmed_rs_ipsl_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.4064170000000003,3.5588800000000003,25.3294,0.000878431,14.971139699999998,8.31323,2.562168,3.26232,0.1177017,0.71572,2,1,3,1,2,3,5,3,2,0,6,5,0,4,7,4
ssp_ag3_soc5_gwmed_rs_ipsl_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.096282,3.605285,24.44651,0.0011157769999999,14.7432353,7.65896,2.922083,3.136956,0.1191491,0.9060872,2,1,3,2,2,3,5,3,5,0,6,5,0,4,1,4
ssp_ag3_soc5_gwmed_rs_miroc_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.3619250000000003,3.5068300000000003,25.38402,0.0008710219999999,14.9102044,8.28037,2.559642,3.2379,0.1177434,0.7145489999999999,2,1,4,1,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.082563,3.595072,24.56809,0.001111666,14.6901332,7.59328,2.954401,3.1209100000000003,0.1183009,0.9032413,2,1,4,2,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwmed_rs_noresm_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.3989300000000005,3.50155,25.23065,0.000871612,15.000909700000001,8.31842,2.5805670000000003,3.26398,0.1185317,0.719411,2,1,5,1,2,3,5,3,2,0,6,5,0,4,7,4
ssp_ag3_soc5_gwmed_rs_noresm_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.102727,3.578381,24.307630000000003,0.001109307,14.756205999999999,7.66148,2.931707,3.1360900000000003,0.1192739,0.9076551,2,1,5,2,2,3,5,3,5,0,6,5,0,4,1,4
ssp_ag4_soc5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,4.46475,3.18043,25.9956,0.000618768,15.185972699999999,8.92639,1.89223,4.10173,0.1189576,0.1466651,3,2,1,1,2,4,5,3,6,0,6,5,0,4,7,4
